"IDX","IDX_DATETIME","DATA_GUBUN","LOCATION","GATHER_INFO","VALUE_1","VALUE_2","VALUE_3"
"324","2021-01-06 13:00:00","T,H","1153076000",,"27","-5","0"
"325","2021-01-06 13:00:00","T,H","1153077000",,"27","-5","0"
"326","2021-01-06 13:00:00","T,H","1154551000",,"27","-5","0"
"327","2021-01-06 13:00:00","T,H","1154561000",,"27","-5","0"
"328","2021-01-06 13:00:00","T,H","1156071000",,"27","-5","0"
"329","2021-01-06 13:00:00","T,H","1156072000",,"27","-5","0"
"330","2021-01-06 13:00:00","T,H","4121000000",,"27","-5","0"
"331","2021-01-06 13:00:00","T,H","4121051000",,"27","-5","0"
"332","2021-01-06 13:00:00","T,H","4121052000",,"27","-5","0"
"333","2021-01-06 13:00:00","T,H","4121054000",,"27","-5","0"
"334","2021-01-06 13:00:00","T,H","4121055000",,"27","-5","0"
"335","2021-01-06 13:00:00","T,H","4121056000",,"27","-5","0"
"336","2021-01-06 13:00:00","T,H","4121057000",,"27","-5","0"
"337","2021-01-06 13:00:00","T,H","4121058000",,"27","-5","0"
"338","2021-01-06 13:00:00","T,H","4121059000",,"27","-5","0"
"339","2021-01-06 13:00:00","T,H","4121060000",,"27","-5","0"
"340","2021-01-06 13:00:00","T,H","4121061000",,"27","-5","0"
"341","2021-01-06 13:00:00","T,H","4121062000",,"27","-5","0"
"342","2021-01-06 13:00:00","T,H","1150060300",,"23","-5","0"
"343","2021-01-06 13:00:00","T,H","1150063000",,"23","-5","0"
"344","2021-01-06 13:00:00","T,H","1150064000",,"23","-5","0"
"345","2021-01-06 13:00:00","T,H","1150064100",,"23","-5","0"
"346","2021-01-06 13:00:00","T,H","1153078000",,"27","-3","0"
"347","2021-01-06 13:00:00","T,H","1153079000",,"27","-3","0"
"348","2021-01-06 13:00:00","T,H","1153080000",,"27","-3","0"
"349","2021-01-06 13:00:00","T,H","4119060300",,"27","-3","0"
"350","2021-01-06 13:00:00","T,H","4119060600",,"27","-3","0"
"351","2021-01-06 13:00:00","T,H","4119075000",,"27","-3","0"
"352","2021-01-06 13:00:00","T,H","4119079500",,"27","-3","0"
"353","2021-01-06 13:00:00","T,H","1154500000",,"28","-5","0"
"354","2021-01-06 13:00:00","T,H","1154562000",,"28","-5","0"
"355","2021-01-06 13:00:00","T,H","1154564000",,"28","-5","0"
"356","2021-01-06 13:00:00","T,H","1154568000",,"28","-5","0"
"357","2021-01-06 13:00:00","T,H","1154569000",,"28","-5","0"
"358","2021-01-06 13:00:00","T,H","1154570000",,"28","-5","0"
